screenW,Browser,workerid,screenH,OS
1366,Chrome,220,768,Windows
1080,Chrome,221,1920,Windows
1366,Chrome,222,768,Windows
1366,Chrome,223,768,Windows
1366,Chrome,224,768,Windows
1920,Firefox,225,1080,Windows
1920,Chrome,226,1080,Windows
1920,Chrome,227,1080,Windows
1280,Chrome,228,1024,Mac
1920,Chrome,229,1080,Windows
1366,Chrome,230,768,Windows
1661,Chrome,231,935,Windows
3840,Chrome,232,1600,Mac
1138,Chrome,233,712,Linux
1536,Chrome,234,864,Windows
1536,Chrome,235,864,Linux
1366,Chrome,236,768,Windows
1680,Firefox,237,1050,Mac
1680,Chrome,238,1050,Mac
1280,Chrome,239,720,Windows
1536,Chrome,240,864,Windows
1366,Chrome,241,768,Windows
1366,Chrome,242,768,Windows
1286,Firefox,243,965,Windows
1364,Chrome,244,768,Windows
412,Chrome,245,846,Linux
1280,Chrome,246,720,Windows
1920,Chrome,247,1080,Windows
1536,Chrome,248,864,Windows
1280,Firefox,249,1024,Windows
1366,Chrome,250,768,Windows
1093,Chrome,251,615,Windows
2880,Chrome,252,1620,Mac
1440,Safari,253,900,Mac
1280,Chrome,254,800,Mac
1280,Chrome,255,720,Windows
1680,Chrome,256,1050,Windows
1327,Chrome,257,746,Windows
911,Firefox,258,512,Windows
1366,Chrome,259,768,Windows
1366,Chrome,260,768,Windows
1366,Chrome,261,768,Linux
1525,Firefox,262,858,Windows
1920,Chrome,263,1080,Windows
1366,Chrome,264,768,Windows
1366,Chrome,265,768,Windows
1207,Firefox,266,678,Windows
1600,Chrome,267,900,Windows
1280,Chrome,268,800,Mac
1366,Chrome,269,768,Windows
1440,Safari,270,900,Mac
1440,Chrome,271,900,Mac
1920,Chrome,272,1080,Windows
1536,Chrome,273,864,Windows
1024,Firefox,274,819,Windows
1536,Chrome,275,864,Windows
1600,Chrome,276,900,Windows
1229,Chrome,277,692,Windows
1600,Chrome,278,900,Windows
1920,Firefox,279,1080,Windows
