gender,workerid,language,education,enjoyment,asses,age,comments
Male,75,English,2,2,Yes,29,
Female,76,English,2,1,Yes,34,
Female,77,English,2,1,Yes,25,fun
Female,78,English,2,1,Yes,23,
Female,79,English,3,2,Yes,31,
Female,80,English,2,1,Yes,36,
Male,81,English,3,1,Yes,35,
Male,82,English,3,1,Yes,35,
Female,83,english,4,2,Yes,42,
Female,84,English,3,1,Yes,67,Good luck!
Female,85,English,3,2,Yes,50,Thank you - loved this HIT!
Female,86,English,3,2,Yes,44,
Male,87,English,2,2,Yes,25,
Female,88,English,3,1,Yes,27,
Female,89,English,3,2,Yes,32,"I did read the instructions, but that question up there has me doubting myself.  I think a lot of things are more subjective than people really understand.  Thanks for the opportunity to participate in your research!"
Male,90,enlish,3,1,Yes,24,
Male,91,English,3,2,Yes,35,Thanks
Male,92,Nepali,4,2,Yes,46,
Female,93,English,2,2,Yes,56,"no comments, thanks"
Male,94,English,4,1,No,34,
,95,,-1,-1,Yes,,
Female,96,Englisha,2,1,Yes,38,It was fun.
Female,97,english,4,2,Yes,23,n/a
Female,98,English,2,1,Yes,30,I hope I did well! Thanks and have a great day!
Female,99,United States,3,1,Yes,35,
Female,100,English,2,2,Yes,76,Good!!
Male,101,English,2,2,Yes,51,No comments.
Female,102,English,4,2,Yes,24,
Female,103,Hebrew,2,1,Confused,44,
Male,104,english,2,2,Yes,36,
Female,105,ENGLISH,3,1,Yes,38,
Female,106,English,3,1,Yes,51,None
Female,107,English,3,2,Yes,60,"I was confused on some of the adjectives, but I think I correctly answered most of them."
Female,108,english,1,2,Yes,56,Can we do more than one of these?
Male,109,English,4,1,Yes,27,
Female,110,English,2,2,Yes,32,Interesting thought exercise in the age of disinformation.
Male,111,English,2,2,Yes,19,
Male,112,English,3,2,Yes,34,
Female,113,"English, Filipino",2,2,Yes,22,
Male,114,English,2,0,Yes,27,
Female,115,English,4,1,Yes,36,
Female,116,English,3,1,Yes,48,
Male,117,english,3,2,Yes,22,good study
Female,118,English,3,2,Yes,49,
Male,119,English,3,2,Yes,31,
Female,120,english,2,2,Yes,51,"No comments, thanks."
Female,121,English,1,1,Yes,47,
Female,122,English,3,2,Yes,38,There were very little instructions but it was rather obvious what you were looking for so hopefully you were satisfied with my answers.
Male,123,English,2,2,Yes,26,
Female,124,English and French,3,1,Yes,50,
Female,125,English,3,1,Yes,54,
Female,126,English,2,2,Yes,35,Great Hit
Male,127,English,2,1,Yes,49,
Male,128,English,2,1,Yes,25,
Female,129,english,3,2,Yes,39,That was fun. Thanks. 
Male,130,english,3,1,Yes,25,
Female,131,English,3,2,Yes,31,
Male,132,English,3,2,Yes,25,"There was one word I didn't know, so even if I looked up the definition, I didn't have any experience with the word. So, maybe there should be an option to skip words."
Male,133,English,3,1,Yes,29,"Some adjectives like ""fine"" could be both subjective, or objective, depending on context ""Fine"" Salt or she did a ""fine"" job"
Female,134,english,2,2,Yes,28,
Male,135,,3,1,Yes,,
Male,136,English,2,1,Yes,25,
Female,137,English,4,2,Yes,38,
Male,138,English,3,1,Yes,37,
Male,139,English,2,2,No,22,
Female,140,English,3,2,Yes,49,This was a good brain exercise!
Female,141,English,3,2,Yes,33,
Female,142,English,2,1,Yes,55,
Female,143,english,2,2,Yes,44,Thank You
Male,144,English,2,2,Yes,23,
Male,145,English,2,2,Yes,42,
Female,146,English,3,2,Yes,33,
Male,147,English,2,2,Yes,55,"None, thank you."
Female,148,English,2,1,Yes,59,
Female,149,,1,2,Confused,28,
Male,150,English,3,1,Yes,51,
Male,151,English,3,2,Yes,65,
Male,152,English,2,2,Yes,48,It was interesting.  I don't give much thought to the subjectivity of adjectives but they do indeed have various levels.
Male,153,english,3,1,Yes,33,is good
Male,154,English,2,2,Yes,50,No comment.
Female,155,english,3,1,Yes,31,
Male,156,English,2,2,Yes,37,
Female,157,English,3,2,Yes,39,Thank you!
Female,158,eNGLISH,4,2,Yes,36,
Female,159,English,4,1,Yes,26,
Male,160,English,3,1,Yes,31,
Female,161,english,3,1,Yes,37,
Female,162,english,3,1,Yes,27,good
Female,163,English,3,2,Yes,46,It was interesting
Male,164,English,3,1,Yes,33,
Female,165,english,4,1,Yes,25,
Female,166,English,2,2,Yes,48,
Female,167,English,3,1,Yes,25,
Male,168,English,4,1,Yes,33,
Male,169,English,3,1,Yes,40,
Female,170,English,3,2,Yes,25,
Female,171,English,4,2,Yes,38,
Male,172,English,1,2,Yes,40,
Male,173,English,3,2,Yes,33,It was fun.
Male,174,English,2,2,Yes,36,Fun
Female,175,English,2,2,Yes,52,
Female,176,ENGLISH,3,1,Yes,33,
Female,177,English,1,2,Yes,49,
Female,178,english,2,1,Yes,35,
Female,179,English,2,1,Yes,24,
Female,180,english,3,2,Yes,54,
Male,181,English,4,1,Yes,43,
Male,182,english,2,1,Yes,26,n/a
Male,183,English,2,1,Yes,30,
Male,184,english,2,1,Yes,56,
Female,185,English,3,1,Yes,23,
Female,186,English,4,2,Yes,63,
Male,187,English,3,1,Yes,43,Thanks
Female,188,English,1,2,Yes,61,I love word surveys!!
Male,189,English,3,2,Yes,36,Thanks
Female,190,English,4,1,Yes,33,
Male,191,English,3,2,Yes,30,
Female,192,english,3,1,No,42,
Male,193,English,1,1,Yes,37,A great hit I enjoyed it
Male,194,English,2,2,Yes,48,Much more interesting than most
Female,195,english,1,1,Yes,25,
Male,196,english and german,2,2,Yes,29,
Female,197,English,3,1,Yes,46,
Female,198,English,3,2,Yes,58,
Male,199,english,3,1,Yes,31,
Female,200,English,1,1,Yes,20,
Female,201,English,4,1,Yes,51,
Male,202,English,3,2,Yes,43,
Female,203,hindi,2,1,Yes,18,
Male,204,English,3,1,Yes,23,
Female,205,English,2,2,Yes,29,
Male,206,English,3,2,Yes,30,
Male,207,English,3,2,Yes,30,
Male,208,english,2,1,Yes,58,
Female,209,English,3,2,Yes,34,"Honestly, it was fun but considering my determination of how subjective/objective something is is subjective itself, I am not sure how I did."
Male,210,English,3,1,Yes,43,Interesting 
Male,211,English,3,1,Yes,25,good
Female,212,English,3,2,Yes,54,
Female,213,English,3,1,No,24,
Male,214,English,2,2,Yes,38,Hope my input helps!
Male,215,English,1,2,Yes,23,
Female,216,english,4,2,Yes,52,
Female,217,English,3,2,Yes,39,no comments
Female,218,English,-1,2,Yes,67,
Female,219,English,3,1,Yes,51,
Male,220,English,3,2,Yes,32,
Male,221,English,2,1,Yes,45,Good luck with your research.
Male,222,English,3,2,Yes,55,
Male,223,English,3,1,Yes,49,N/A
Female,224,English,4,1,Yes,45,
Other,225,English,2,2,Yes,21,
Female,226,English,3,2,Yes,28,I am not sure if I did it correctly but it was fun so thank you!
Female,227,English,2,2,Yes,60,
Female,228,English,4,2,Yes,58,
Male,229,English,1,1,No,42,
Male,230,English,3,1,Yes,34,
Female,231,English,3,1,Yes,66,"It's been many decades since I learned about adjectives. Some of these didn't seem to fit what I (vaguely) remember, but I did the best I could."
Female,232,english,2,1,Yes,33,
Female,233,English,2,2,Yes,59,Fun!
Male,234,English,3,2,Yes,27,
Male,235,english,4,1,Yes,44,
Female,236,english,3,1,Yes,56,it did not specify if I was allowed to look words up or not in the instructions - so one or two words were placed in the middle because I did not know what they meant.
Male,237,"English, Thai",3,1,Yes,24,
Female,238,English,4,2,Yes,34,"None, thank you"
Female,239,english,3,2,No,54,
Female,240,english,3,2,Yes,42,
Male,241,english,3,2,Yes,28,good
Female,242,United States,2,2,Yes,27,
Female,243,English,3,1,Yes,57,
Male,244,english,2,2,Yes,23,
Male,245,English,2,2,Yes,33,"It was very interesting, thank you!"
Male,246,English,1,1,Yes,57,Thanks.
Male,247,English,3,2,Yes,50,
Female,248,Cantonese,2,2,Yes,31,
Female,249,English,2,2,Yes,53,
Female,250,English,3,1,Yes,44,
Female,251,English,2,2,Yes,60,None
Female,252,English,4,2,Yes,47,
Male,253,ENGLISH,4,2,Yes,26,
Male,254,Englsh,4,2,Yes,37,Fun HIT
Female,255,english,4,2,Yes,27,
Male,256,English,2,1,Yes,28,
Female,257,English,2,2,Yes,22,
Female,258,English,3,1,Yes,35,
Female,259,English,4,2,Yes,43,
Female,260,English,3,1,Yes,31,
Female,261,English,2,1,Yes,58,
Male,262,English,3,2,Yes,27,
Male,263,english,1,2,Yes,62,none
Female,264,English,3,1,Yes,41,
Male,265,english,4,2,Yes,43,df
Female,266,English,3,1,Yes,53,
Female,267,english,4,-1,Yes,57,
Female,268,English,4,2,Yes,37,
Other,269,english,3,1,Yes,34,Nothing to add.
Male,270,English,3,1,Yes,34,
Female,271,English,2,2,Yes,27,Interesting task!
Male,272,English,2,1,Yes,31,
Female,273,English,3,1,Yes,53,this was interesting!
Female,274,English,2,2,Yes,48,"I wasn't sure about the use of the word ""average"", as in ""average looking"" or a numeric average."
Female,275,English,3,2,Yes,47,
Female,276,English,2,2,Yes,61,
Female,277,English,3,1,Yes,50,
Female,278,English,3,1,Yes,58,
Male,279,English,2,2,Yes,65,Good survey.
