id,idx,count,awf,nwf,acl,ncl,p_awf,p_acl,p_nwf,p_ncl,p_awf_nwf,p_awf_ncl,p_acl_nwf,p_acl_ncl,ic_awf_nwf,ic_awf_ncl,ic_acl_nwf,ic_acl_ncl,pmi_awf_nwf,pmi_awf_ncl,pmi_acl_nwf,pmi_acl_ncl,vd_awf_nwf,vd_awf_nct,vd_act_nwf,vd_act_nct,s_awf,s_acl
13,0,1,american,influence,19.0,49.0,-12.079715739642246,-8.914876624013303,-11.885599241026126,-5.535037799345013,-11.514549691274066,-8.77758409710786,-8.77758409710786,-10.861370944504971,10.055299344021027,7.289558856329267,10.700234579882476,7.228796903602862,0.5651660483681802,3.302131642534386,0.13729252690544236,-1.9464943204916683,0.5111612004152652,0.5074361521202693,0.4818766814229345,0.47027646932320044,0.273076923076923,0.21729002941502945
13,1,1,cultural,influence,126.0,49.0,-10.135062450383423,-7.2833634387902535,-11.885599241026126,-5.535037799345013,-6.607659095665548,-5.3852666743291,-5.3852666743291,-5.9662698028229775,9.336788259476688,6.2231619234231585,10.769798219052067,6.8152712866637275,3.5274033547178743,4.749795776054323,1.8980967644611537,1.317093635967276,0.4566963152477471,0.3888650124112818,0.4758705316641635,0.3346804494637954,0.502692307692308,0.5487688933873145
14,0,1,american,history,19.0,758.0,-12.079715739642246,-8.914876624013303,-9.940930796408054,-3.92431334337861,-9.089984326226418,-7.999786517254839,-7.999786517254839,-9.525534659432834,10.055299344021027,7.289558856329267,10.700234579882476,7.228796903602862,2.9897314134158286,4.079929222387407,0.9150901067584636,-0.6106580354195312,0.3564169797589527,0.33451184919193333,0.3897772852139554,0.3615576471722738,0.273076923076923,0.21729002941502945
14,1,1,electoral,history,82.0,758.0,-12.90995790059406,-5.871615198299855,-9.940930796408054,-3.92431334337861,-11.137290041004775,-6.044180636613293,-6.044180636613293,-6.070174203050615,7.256891502542344,5.300962986980184,10.94241523085887,6.831198579678972,1.7726678595892853,6.8657772639807675,-0.17256543831343762,-0.19855900475076016,0.6926076463991246,0.6895298371003988,0.44042599261726734,0.273295996343798,0.1925,0.34209800647853933
15,0,1,american,incomes,19.0,561.0,-12.079715739642246,-8.914876624013303,-14.785439088184985,-6.1270968392733005,-10.199672344836365,-9.199672344836365,-9.199672344836365,-11.150667408078064,10.055299344021027,7.289558856329267,10.700234579882476,7.228796903602862,1.880043394805881,2.880043394805881,-0.2847957208230625,-2.2357907840647613,0.8056288093122949,0.5732731257359933,0.7416206675159056,0.5913982960331012,0.273076923076923,0.21729002941502945
15,1,1,real,incomes,4.0,561.0,-6.875874018870962,-4.025178737373114,-14.785439088184985,-6.1270968392733005,-5.029747343394052,-4.584962500721157,-4.584962500721157,-4.511512806993312,8.428616985797554,5.606275652076868,10.807144563510532,6.503130785772407,1.84612667547691,2.290911518149805,-0.5597837633480429,-0.4863340696201979,0.7411832928297842,0.521832917075677,0.6896399956054767,0.37946264968907994,0.37375,0.4268183830226921
16,0,4,american,adults,19.0,682.0,-12.079715739642246,-8.914876624013303,-12.160351534067242,-7.75923814353764,-10.824759898954108,-9.502831804066744,-9.502831804066744,-8.52891770966032,10.055299344021027,7.289558856329267,10.700234579882476,7.228796903602862,1.2549558406881385,2.576883935575502,-0.5879551800534415,0.38595891435298313,0.6076126096657193,0.5198321873665026,0.5482680878230117,0.43836343919405807,0.273076923076923,0.21729002941502945
16,1,4,young,adults,10.0,682.0,-7.801748440089118,-6.30976929478714,-12.160351534067242,-7.75923814353764,-1.3643040026444702,-1.32292271405181,-1.32292271405181,-2.9140659797227224,7.869877192813439,4.670419560995116,10.4291182495782,6.455277892146588,6.437444437444648,6.478825726037308,4.98684658073533,3.3957033150644174,0.40888187323864866,0.2825082101236578,0.5251979363340036,0.4157981034963508,0.5685,0.5385389194139196
17,0,1,ancient,gods,5.0,176.0,-10.157908922802777,-8.8808932088056,-14.805202343006414,-9.18900770249538,-4.050626073069968,-3.68805599368526,-3.68805599368526,-6.474187582049507,9.631236842295689,6.646277719391585,10.876423545373076,7.142046680754074,6.107282849732809,6.469852929117517,5.19283721512034,2.406705626756094,0.39805780892708986,0.5357972644482392,0.40816962841838267,0.4914459863257792,0.4528571428571429,0.4528571428571429
17,1,1,egyptian,gods,139.0,176.0,-16.521578371389197,-13.713660351527873,-14.805202343006414,-9.18900770249538,-7.594946589293778,-7.594946589293778,-7.594946589293778,-10.988760754879264,7.881452474192579,6.888532971580155,9.3732601775843,6.965785249421239,8.926631782095418,8.926631782095418,6.118713762234094,2.7248995966486085,0.5691111640326894,0.6639753262259263,0.809605653174738,0.7822146799130967,0.26047619047619003,0.2066432805622691
18,0,1,arab,regime,None,103.0,None,None,-13.008189365170269,-11.509516595092002,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
18,1,1,moslem,regime,8.0,103.0,-24.985102744660377,-8.42610485608546,-13.008189365170269,-11.509516595092002,None,-2.5236514338404565,-2.5236514338404565,-2.8299483519315354,0.0,0.0,10.751236132783644,6.88961362598719,None,22.46145131081992,5.902453422245005,5.596156504153925,0.7432152580126535,0.6277588248273691,0.408299235587647,0.3075607721019139,0.31708333333333305,0.46945792748917736
19,0,1,australian,power,19.0,610.0,-14.948929132106892,-8.914876624013303,-9.972355968190149,-5.979046633585523,None,-11.205400542773594,-11.205400542773594,-10.333651403875228,9.314789803781617,7.307468981842147,10.700234579882476,7.228796903602862,None,3.743528589333298,-2.2905239187602913,-1.4187747798619252,0.7068561559778097,0.6136019649423916,0.6160468572010086,0.5689418190056013,0.143939393939394,0.21729002941502945
19,1,1,financial,power,127.0,610.0,-8.093912376856924,-4.76527776174866,-9.972355968190149,-5.979046633585523,-8.764827951387613,-3.7881507832926995,-3.7881507832926995,-4.034847558355388,8.505871558427366,5.558504546437469,10.79822748247065,6.594047190362323,-0.6709155745306887,4.305761593564224,0.9771269784559604,0.7304302033932721,0.5917548622718405,0.490493480236871,0.4809663226170996,0.3803053697650912,0.32375,0.3737082119127675
20,0,1,authentic,cuisine,54.0,368.0,-11.471251804541586,-5.355953555027005,-12.67563507918024,-7.5841522436937705,-4.019457506908488,-2.381698391758764,-2.381698391758764,-4.1157134248185425,9.997410081254314,6.811460208941034,11.45290997791871,7.2034591319764445,7.451794297633098,9.089553412782822,2.974255163268241,1.2402401302084627,0.5652899494722443,0.5862392624147961,0.47022756985450576,0.4528377810505412,0.625769230769231,0.7609627748929781
20,1,1,cuban,cuisine,95.0,368.0,-16.737175231216792,-14.844293608659248,-12.67563507918024,-7.5841522436937705,-12.309476353841106,-10.72451385311995,-10.72451385311995,-11.568081121573735,6.688833612060789,5.513143615419088,8.664638157713656,6.9649714237219476,4.427698877375686,6.012661378096842,4.119779755539298,3.2762124870855125,0.6430845820391733,0.6352567662844872,0.7263213047899926,0.7708740634447779,0.155263157894737,0.1754887218045115
21,0,1,authentic,food,54.0,368.0,-11.471251804541586,-5.355953555027005,-9.663570832683916,-7.5841522436937705,-7.171793480832749,-5.084330639582409,-5.084330639582409,-4.1157134248185425,9.997410081254314,6.811460208941034,11.45290997791871,7.2034591319764445,4.299458323708837,6.386921164959177,0.2716229154445964,1.2402401302084627,0.638770222982141,0.5862392624147961,0.5376990823245749,0.4528377810505412,0.625769230769231,0.7609627748929781
21,1,1,jamaican,food,95.0,368.0,-19.284663026519286,-14.844293608659248,-9.663570832683916,-7.5841522436937705,-14.32154060033743,-10.566653098173962,-10.566653098173962,-11.568081121573735,5.508132025833402,4.948143266626405,8.664638157713656,6.9649714237219476,4.963122426181856,8.718009928345325,4.277640510485286,3.2762124870855125,0.6951603483646629,0.6425514666454386,0.7402517836454768,0.7708740634447779,0.195714285714286,0.1754887218045115
22,0,1,authentic,food,54.0,368.0,-11.471251804541586,-5.355953555027005,-9.663570832683916,-7.5841522436937705,-7.171793480832749,-5.084330639582409,-5.084330639582409,-4.1157134248185425,9.997410081254314,6.811460208941034,11.45290997791871,7.2034591319764445,4.299458323708837,6.386921164959177,0.2716229154445964,1.2402401302084627,0.638770222982141,0.5862392624147961,0.5376990823245749,0.4528377810505412,0.625769230769231,0.7609627748929781
22,1,1,mexican,food,19.0,368.0,-13.906951936925728,-8.914876624013303,-9.663570832683916,-7.5841522436937705,-8.202599527613923,-6.628053642838106,-6.628053642838106,-6.783503670444281,7.3724976349304905,5.633647654199131,10.700234579882476,7.228796903602862,5.704352409311804,7.278898294087622,2.286822981175197,2.131372953569022,0.49769657534337874,0.46288087282041,0.46930990939068185,0.5351664575373124,0.150555555555556,0.21729002941502945
23,0,1,average,load,86.0,428.0,-9.547643245606245,-7.013703318421205,-12.394290502090824,-5.953777553455638,-7.78346600887292,-4.461537913985557,-4.461537913985557,-4.463567960065525,9.388286835602662,6.285400992785027,10.606595156454166,6.622614118138946,1.7641772367333255,5.086105331620688,2.552165404435648,2.5501353583556803,0.5399277327957709,0.28328606412107393,0.42680589576362427,0.12507015031960633,0.6009090909090911,0.5109545454545456
23,1,1,annual,load,183.0,428.0,-9.507281247876993,-7.609481479842611,-12.394290502090824,-5.953777553455638,-12.590820930930526,-7.381367565301574,-7.381367565301574,-6.889877270583524,8.791668928445954,5.94974119073481,9.435338726484105,6.2181555989603225,-3.0835396830535338,2.125913682575419,0.22811391454103713,0.7196042092590869,0.7330715465536559,0.5353176331096254,0.735472858248382,0.5628936168380964,0.1875,0.144967320261438
24,0,1,baby,king,None,434.0,None,None,-13.381021571552168,-10.213427589582226,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
24,1,1,eastern,king,153.0,434.0,-11.64636636208646,-7.560555194854648,-13.381021571552168,-10.213427589582226,-10.60408986146918,-8.796734939411575,-8.796734939411575,-8.96434086779242,8.601166230670986,5.859558329635818,10.521100934978914,6.856582612208931,1.0422765006172803,2.849631422674886,-1.2361797445569271,-1.4037856729377713,0.6412008710484477,0.6396550587361689,0.6325127680232199,0.6177740017046398,0.17521739130434805,0.3036348844740957
25,0,2,bangladeshi,minister,180.0,147.0,-24.985102744660377,-12.593342773419081,-11.897317128233448,-11.01852780696297,None,-13.087794304787902,-13.087794304787902,-12.381633071748121,0.0,0.0,9.331998947321672,6.726841228534214,None,11.897308439872475,-0.4944515313688207,0.21170970167096037,0.805908487896081,0.7944951145414743,0.6375403397752988,0.686356105742725,0.176842105263158,0.14631722587100174
25,1,2,prime,minister,82.0,147.0,-11.036096809255621,-5.871615198299855,-11.897317128233448,-11.01852780696297,-1.239562603694083,-0.5471818965383706,-0.5471818965383706,-1.136872837383218,6.881363286823742,5.11981478343895,10.94241523085887,6.831198579678972,9.796534205561539,10.48891491271725,5.324433301761484,4.734742360916637,0.27664312636725064,0.4574687438903956,0.37833319947833055,0.38851653830334354,0.424347826086957,0.34209800647853933
26,0,1,basic,right,62.0,32.0,-8.783438255948964,-2.926321710910842,-11.413714293657156,-4.018658061151658,-5.361943773735242,-3.4589576325826394,-3.4589576325826394,-3.5817490106312517,9.708962897922305,6.213608722415934,11.553351739579965,7.0088477609901,3.4214944822137214,5.324480623366324,-0.5326359216717975,-0.6554272997204098,0.5188236769099882,0.4181047964777942,0.3263613383474918,0.19077846206889004,0.6678571428571429,0.513775111241064
26,1,1,human,right,36.0,32.0,-8.371226969648985,-4.049072114602912,-11.413714293657156,-4.018658061151658,-6.34257844886831,-3.752814961883333,-3.752814961883333,-3.8354122218709463,8.152916002937534,5.619457866035062,11.204401265124075,6.6940137524784555,2.028648520780675,4.618412007765652,0.296257152719579,0.2136598927319655,0.4832357353786213,0.42055502259332844,0.3097287164196548,0.14934643499721756,0.159375,0.5203088092154123
27,0,1,beautiful,house,54.0,229.0,-7.909425137974747,-5.355953555027005,-10.09850984670782,-6.384266749915122,-5.77546591607882,-4.039544240222192,-4.039544240222192,-4.416291177070968,10.398915558772956,6.749625180326219,11.45290997791871,7.2034591319764445,2.1339592218959265,3.869880897752555,1.3164093148048135,0.9396623779560374,0.5233320678957776,0.42032116027498545,0.5158941211826693,0.40929593546637266,0.844782608695652,0.7609627748929781
27,1,1,new,house,184.0,229.0,-5.003508985497221,-3.5583523966317334,-10.09850984670782,-6.384266749915122,-3.3257911175855863,-2.453276959597602,-2.453276959597602,-3.146493069017873,11.071361901337536,6.897245080504974,10.697752203659455,6.3563074088285285,1.6777178679116345,2.5502320258996187,1.1050754370341314,0.41185932761386024,0.45394058737428244,0.3709380928868765,0.37007915916444445,0.27452032593895703,0.4516666666666671,0.42557203072616623
28,0,1,beautiful,woman,54.0,255.0,-7.909425137974747,-5.355953555027005,-9.632516201887043,-6.251432747192435,-4.378897864828953,-3.3610733850586083,-3.3610733850586083,-4.146557738683655,10.398915558772956,6.749625180326219,11.45290997791871,7.2034591319764445,3.530527273145794,4.548351752916139,1.994880169968397,1.20939581634335,0.4506937649089533,0.43163677626605124,0.4993388943567223,0.4267400668461737,0.844782608695652,0.7609627748929781
28,1,1,young,woman,10.0,255.0,-7.801748440089118,-6.30976929478714,-9.632516201887043,-6.251432747192435,-2.681275317951003,-2.5545285107712408,-2.5545285107712408,-2.9686117726231274,7.869877192813439,4.670419560995116,10.4291182495782,6.455277892146588,5.120473122138115,5.247219929317877,3.755240784015899,3.3411575221640124,0.36381420115898166,0.2117056140196394,0.4955365061947352,0.40965610804026154,0.5685,0.5385389194139196
29,0,1,bella,culture,None,626.0,None,None,-11.210015610435391,-6.212850693973215,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
29,1,1,sicilian,culture,22.0,626.0,-18.940708625301923,-10.120695386917127,-11.210015610435391,-6.212850693973215,None,-7.775095822585956,-7.775095822585956,-11.225378225571395,5.892878967843301,5.316878779494763,10.741905895828019,7.248693518133992,None,11.165612802715966,2.345599564331171,-1.1046828386542682,0.7774773771086165,0.8663449034136532,0.5249403408723471,0.6038164797433582,0.20777777777777803,0.1943782815481265
30,0,1,best,food,131.0,368.0,-6.067509224014492,-3.1870673414481447,-9.663570832683916,-7.5841522436937705,-5.491817865251372,-1.5051568918627043,-1.5051568918627043,-2.0827814171657586,9.670837457666233,6.238111981045611,10.981056842919148,6.65889117329594,0.5756913587631196,4.562352332151788,1.6819104495854404,1.1042859242823861,0.46560506985432815,0.5085049065922518,0.4050014814779159,0.4571080729614879,0.823809523809524,0.7173174493326742
30,1,1,chineese,food,None,368.0,None,None,-9.663570832683916,-7.5841522436937705,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
31,0,1,best,food,131.0,368.0,-6.067509224014492,-3.1870673414481447,-9.663570832683916,-7.5841522436937705,-5.491817865251372,-1.5051568918627043,-1.5051568918627043,-2.0827814171657586,9.670837457666233,6.238111981045611,10.981056842919148,6.65889117329594,0.5756913587631196,4.562352332151788,1.6819104495854404,1.1042859242823861,0.46560506985432815,0.5085049065922518,0.4050014814779159,0.4571080729614879,0.823809523809524,0.7173174493326742
31,1,1,chinese,food,180.0,368.0,-13.295104773240931,-12.593342773419081,-9.663570832683916,-7.5841522436937705,-7.862108981700133,-7.546753540736257,-7.546753540736257,-8.076790589119737,8.67038172637431,6.46257360227864,9.331998947321672,6.726841228534214,5.432995791540798,5.748351232504674,5.046589232682824,4.516552184299345,0.4808598188795493,0.5151526298720398,0.6070734549181462,0.6088779226018377,0.19166666666666698,0.14631722587100174
32,0,1,best,restaurant,131.0,368.0,-6.067509224014492,-3.1870673414481447,-11.574262626615837,-7.5841522436937705,-4.8334199783697605,-2.0249864057640483,-2.0249864057640483,-2.0827814171657586,9.670837457666233,6.238111981045611,10.981056842919148,6.65889117329594,1.2340892456447312,4.042522818250443,1.1620809356840964,1.1042859242823861,0.5394634515965115,0.5085049065922518,0.5063892581501963,0.4571080729614879,0.823809523809524,0.7173174493326742
32,1,1,chinese,restaurant,180.0,368.0,-13.295104773240931,-12.593342773419081,-11.574262626615837,-7.5841522436937705,-7.629489092880849,-6.918995710075834,-6.918995710075834,-8.076790589119737,8.67038172637431,6.46257360227864,9.331998947321672,6.726841228534214,5.665615680360082,6.376109063165097,5.674347063343247,4.516552184299345,0.5308019431173723,0.5151526298720398,0.650165897315804,0.6088779226018377,0.19166666666666698,0.14631722587100174
33,0,1,best,motel,131.0,533.0,-6.067509224014492,-3.1870673414481447,-16.01644463982614,-8.270797356476582,-6.968666793195209,-2.6111147885771246,-2.6111147885771246,-2.1937073423993865,9.670837457666233,6.238111981045611,10.981056842919148,6.65889117329594,-0.9011575691807172,3.456394435437367,0.5759525528710201,0.9933599990487583,0.6368256974909081,0.5267037886392593,0.6829530204686678,0.5396482678768353,0.823809523809524,0.7173174493326742
33,1,1,little,motel,4.0,533.0,-6.627331692722123,-4.025178737373114,-16.01644463982614,-8.270797356476582,-5.968666793195209,-3.8812039519448693,-3.8812039519448693,-4.305200312490353,10.44296273420755,6.714462883382905,10.807144563510532,6.503130785772407,0.6586648995269142,2.7461277407772537,0.1439747854282447,-0.2800215751172388,0.6975023273810098,0.6475607019240045,0.6763776902567635,0.577410025424949,0.6117857142857139,0.4268183830226921
