"","workerid","class","predicate","slide_number","response","language"
"45",1,"age","young",17,0.78,"English"
"46",1,"nationality","Brazilian",18,0.34,"English"
"47",1,"human","professional",19,0.89,"English"
"48",1,"physical","creamy",20,0.32,"English"
"49",1,"value","plain",21,0.71,"English"
"50",1,"temporal","historical",22,0.75,"English"
"51",1,"physical","frozen",23,0.15,"English"
"52",1,"temporal","daily",24,0.2,"English"
"53",1,"X","different",25,0.71,"English"
"54",1,"value","favorite",26,1,"English"
"55",1,"shape","square",27,0,"English"
"56",1,"dimension","large",28,0.2,"English"
"57",1,"nationality","national",29,0.35,"English"
"58",1,"physical","spicy",30,0.8,"English"
"59",1,"X","last",31,0.13,"English"
"60",1,"dimension","open",32,0.63,"English"
"61",2,"age","new",3,0.7,"English"
"62",2,"dimension","thick",4,0.71,"English"
"63",2,"value","pleasant",5,0.25,"English"
"64",2,"value","plain",6,0.69,"English"
"65",2,"color","white",7,0.82,"English"
"66",2,"temporal","daily",8,0.02,"English"
"67",2,"physical","creamy",9,0.69,"English"
"68",2,"physical","spicy",10,0.33,"English"
"69",2,"human","selfish",11,0.2,"English"
"70",2,"X","different",12,0.68,"English"
"71",2,"physical","lacy",13,0.22,"English"
"72",2,"nationality","national",14,0.56,"English"
"73",2,"material","crocheted",15,0.01,"English"
"74",2,"color","yellow",16,0.71,"English"
"75",2,"material","wooden",17,0.37,"English"
"76",2,"X","potential",18,0.1,"English"
"77",2,"dimension","narrow",19,0.23,"English"
"78",2,"value","favorite",20,0.27,"English"
"79",2,"color","black",21,0.75,"English"
"80",2,"value","exciting",22,0.71,"English"
"81",2,"color","blonde",23,0.08,"English"
"82",2,"value","best",24,0.83,"English"
"83",2,"nationality","European",25,0.03,"English"
"84",2,"dimension","biggest",26,0.89,"English"
"85",2,"age","old-time",27,0.72,"English"
"86",2,"value","strange",28,0.72,"English"
"87",2,"dimension","open",29,0.37,"English"
"88",2,"X","individual",30,0.13,"English"
"89",2,"location","overhead",31,0.03,"English"
"90",2,"color","blue",32,0.73,"English"
"91",3,"nationality","Hispanic",3,0.49,"English"
"92",3,"temporal","everyday",4,0.8,"English"
"93",3,"color","purple",5,0.52,"English"
"94",3,"X","token",6,0.12,"English"
"95",3,"value","favorite",7,0.5,"English"
"96",3,"human","creative",8,0.9,"English"
"97",3,"speed","speedy",9,0.11,"English"
"98",3,"location","closest",10,0.23,"English"
"99",3,"speed","fast",11,0.54,"English"
"100",3,"shape","circular",12,0.18,"English"
"101",3,"nationality","English",13,0.41,"English"
"102",3,"value","prestigious",14,0.76,"English"
"103",3,"age","old-time",15,0.77,"English"
"104",3,"physical","curly",16,0.19,"English"
"105",3,"color","red",17,0.12,"English"
"106",3,"color","blonde",18,0.07,"English"
"107",3,"age","new",19,0.28,"English"
"108",3,"dimension","open",20,0.55,"English"
"109",3,"material","crocheted",21,0.07,"English"
"110",3,"physical","smooth",22,0.43,"English"
"111",3,"color","white",23,0.08,"English"
"112",3,"nationality","Vietnamese",24,0.22,"English"
"113",3,"X","potential",25,0.87,"English"
"114",3,"dimension","mini",26,0.12,"English"
"115",3,"nationality","Brazilian",27,0.53,"English"
"116",3,"X","mixed",28,0.17,"English"
"117",3,"color","yellow",29,0.08,"English"
"118",3,"value","lavish",30,0.86,"English"
"119",3,"shape","square",31,0.05,"English"
"120",3,"color","blue",32,0.2,"English"
"121",4,"age","old",3,0.16,"english"
"122",4,"X","potential",4,0.76,"english"
"123",4,"nationality","European",5,0,"english"
"124",4,"speed","speedy",6,0.47,"english"
"125",4,"color","blonde",7,0.09,"english"
"126",4,"physical","creamy",8,0.35,"english"
"127",4,"temporal","daily",9,0.07,"english"
"128",4,"nationality","Hispanic",10,0,"english"
"129",4,"location","overhead",11,0.23,"english"
"130",4,"human","selfish",12,0.37,"english"
"131",4,"nationality","Japanese",13,0,"english"
"132",4,"material","crocheted",14,0.11,"english"
"133",4,"material","corduroy",15,0.16,"english"
"134",4,"color","blue",16,0.51,"english"
"135",4,"age","young",17,0.32,"english"
"136",4,"color","green",18,0.39,"english"
"137",4,"age","senior",19,0.03,"english"
"138",4,"age","new",20,0.68,"english"
"139",4,"color","yellow",21,0.18,"english"
"140",4,"physical","lacy",22,0.07,"english"
"141",4,"human","strict",23,0.37,"english"
"142",4,"physical","smooth",24,0.21,"english"
"143",4,"value","strange",25,0.25,"english"
"144",4,"temporal","everyday",26,0.16,"english"
"145",4,"dimension","long",27,0.07,"english"
"146",4,"age","old-time",28,0.01,"english"
"147",4,"value","best",29,0.96,"english"
"148",4,"nationality","international",30,0.22,"english"
"149",4,"X","individual",31,0.25,"english"
"150",4,"dimension","open",32,0.19,"english"
"151",5,"human","sad",3,0.75,"English"
"152",5,"dimension","thick",4,0,"English"
"153",5,"location","closest",5,0,"English"
"154",5,"color","yellow",6,0,"English"
"155",5,"age","young",7,0.2,"English"
"156",5,"human","strict",8,0.19,"English"
"157",5,"X","potential",9,0.75,"English"
"158",5,"location","overhead",10,0.07,"English"
"159",5,"speed","slow",11,0.15,"English"
"160",5,"nationality","European",12,0,"English"
"161",5,"temporal","everyday",13,0,"English"
"162",5,"human","entrepreneurial",14,0.2,"English"
"163",5,"age","senior",15,0.27,"English"
"164",5,"material","wooden",16,0,"English"
"165",5,"physical","spicy",17,0.17,"English"
"166",5,"shape","square",18,0,"English"
"167",5,"nationality","national",19,0,"English"
"168",5,"shape","circular",20,0,"English"
"169",5,"color","green",21,0,"English"
"170",5,"X","token",22,0,"English"
"171",5,"color","red",23,0,"English"
"172",5,"human","professional",24,0.75,"English"
"173",5,"X","designated",25,0,"English"
"174",5,"speed","fast",26,0.73,"English"
"175",5,"material","gold",27,0,"English"
"176",5,"human","playful",28,0.78,"English"
"177",5,"age","old",29,0.23,"English"
"178",5,"physical","solid",30,0,"English"
"179",5,"location","internal",31,0,"English"
"180",5,"X","unique",32,0.8,"English"
"181",6,"nationality","English",3,0,"English"
"182",6,"human","entrepreneurial",4,0,"English"
"183",6,"physical","lacy",5,0.65,"English"
"184",6,"dimension","open",6,0,"English"
"185",6,"nationality","Brazilian",7,0.12,"English"
"186",6,"age","young",8,0.76,"English"
"187",6,"color","white",9,0.63,"English"
"188",6,"physical","solid",10,0.14,"English"
"189",6,"physical","spicy",11,0.83,"English"
"190",6,"nationality","European",12,0.23,"English"
"191",6,"value","lavish",13,0.79,"English"
"192",6,"nationality","national",14,0.49,"English"
"193",6,"X","designated",15,0.57,"English"
"194",6,"human","strict",16,0.73,"English"
"195",6,"physical","frozen",17,0.29,"English"
"196",6,"color","black",18,0.62,"English"
"197",6,"X","individual",19,0.56,"English"
"198",6,"age","new",20,0.74,"English"
"199",6,"color","yellow",21,0.19,"English"
"200",6,"location","internal",22,0.63,"English"
"201",6,"X","unique",23,1,"English"
"202",6,"nationality","international",24,0.09,"English"
"203",6,"physical","creamy",25,0.82,"English"
"204",6,"location","overhead",26,0.34,"English"
"205",6,"human","sad",27,0.59,"English"
"206",6,"age","junior",28,0.69,"English"
"207",6,"material","corduroy",29,0.15,"English"
"208",6,"location","closest",30,0.15,"English"
"209",6,"human","civilized",31,1,"English"
"210",6,"color","red",32,0.36,"English"
"211",7,"nationality","Brazilian",3,0.02,"English"
"212",7,"human","creative",4,0.96,"English"
"213",7,"value","strange",5,0.97,"English"
"214",7,"temporal","current",6,0.94,"English"
"215",7,"value","favorite",7,0.93,"English"
"216",7,"age","young",8,0.92,"English"
"217",7,"physical","curly",9,0.7,"English"
"218",7,"age","senior",10,0.45,"English"
"219",7,"nationality","European",11,0.06,"English"
"220",7,"X","designated",12,0.33,"English"
"221",7,"nationality","Japanese",13,0.05,"English"
"222",7,"color","purple",14,0.39,"English"
"223",7,"X","different",15,0.42,"English"
"224",7,"temporal","everyday",16,0.14,"English"
"225",7,"physical","solid",17,0.21,"English"
"226",7,"nationality","Vietnamese",18,0.01,"English"
"227",7,"color","black",19,0.06,"English"
"228",7,"dimension","narrow",20,0.44,"English"
"229",7,"material","wooden",21,0.02,"English"
"230",7,"nationality","English",22,0.04,"English"
"231",7,"dimension","mini",23,0.52,"English"
"232",7,"value","plain",24,0.68,"English"
"233",7,"physical","lacy",25,0.42,"English"
"234",7,"human","playful",26,0.6,"English"
"235",7,"speed","fast",27,0.89,"English"
"236",7,"dimension","thick",28,0.85,"English"
"237",7,"physical","smooth",29,0.77,"English"
"238",7,"physical","spicy",30,0.88,"English"
"239",7,"value","exciting",31,0.93,"English"
"240",7,"human","strict",32,0.91,"English"
"241",8,"color","black",3,0.71,"English"
"242",8,"value","plain",4,0.73,"English"
"243",8,"X","mixed",5,0.39,"English"
"244",8,"material","crocheted",6,0.79,"English"
"245",8,"human","entrepreneurial",7,0.34,"English"
"246",8,"value","strange",8,0.86,"English"
"247",8,"X","potential",9,0.66,"English"
"248",8,"physical","lacy",10,0.75,"English"
"249",8,"value","lavish",11,0.84,"English"
"250",8,"human","selfish",12,0.57,"English"
"251",8,"age","junior",13,0.32,"English"
"252",8,"nationality","international",14,0.26,"English"
"253",8,"X","designated",15,0.28,"English"
"254",8,"human","civilized",16,0.6,"English"
"255",8,"material","corduroy",17,0.28,"English"
"256",8,"temporal","daily",18,0.19,"English"
"257",8,"value","exciting",19,0.72,"English"
"258",8,"dimension","thick",20,0.15,"English"
"259",8,"nationality","Japanese",21,0.14,"English"
"260",8,"color","green",22,0.15,"English"
"261",8,"color","red",23,0.16,"English"
"262",8,"physical","curly",24,0.28,"English"
"263",8,"value","best",25,0.58,"English"
"264",8,"value","favorite",26,0.34,"English"
"265",8,"dimension","long",27,0.34,"English"
"266",8,"color","purple",28,0.16,"English"
"267",8,"value","prestigious",29,0.64,"English"
"268",8,"speed","slow",30,0.26,"English"
"269",8,"temporal","everyday",31,0.07,"English"
"270",8,"location","overhead",32,0.27,"English"
"271",9,"value","favorite",3,0.89,"english"
"272",9,"color","red",4,0.01,"english"
"273",9,"value","strange",5,0.87,"english"
"274",9,"physical","spicy",6,0.51,"english"
"275",9,"dimension","open",7,0.7,"english"
"276",9,"physical","lacy",8,0.02,"english"
"277",9,"temporal","current",9,0.63,"english"
"278",9,"value","plain",10,1,"english"
"279",9,"nationality","international",11,0,"english"
"280",9,"dimension","thin",12,0.62,"english"
"281",9,"human","selfish",13,1,"english"
"282",9,"material","wooden",14,0.47,"english"
"283",9,"color","white",15,0,"english"
"284",9,"shape","square",16,0,"english"
"285",9,"speed","fast",17,0.5,"english"
"286",9,"color","purple",18,0.17,"english"
"287",9,"human","sad",19,0.84,"english"
"288",9,"nationality","Brazilian",20,0,"english"
"289",9,"speed","slow",21,0.6,"english"
"290",9,"color","green",22,0.24,"english"
"291",9,"location","internal",23,0,"english"
"292",9,"physical","sweet",24,0.78,"english"
"293",9,"X","last",25,0.7,"english"
"294",9,"value","lavish",26,1,"english"
"295",9,"X","mixed",27,0.74,"english"
"296",9,"X","potential",28,0.52,"english"
"297",9,"dimension","biggest",29,1,"english"
"298",9,"physical","curly",30,1,"english"
"299",9,"value","exciting",31,0.5,"english"
"300",9,"dimension","narrow",32,0.5,"english"
"301",10,"value","pleasant",3,0.97,"English"
"302",10,"temporal","historical",4,0.02,"English"
"303",10,"age","young",5,0.74,"English"
"304",10,"location","closest",6,0.14,"English"
"305",10,"temporal","current",7,0.3,"English"
"306",10,"physical","creamy",8,0.72,"English"
"307",10,"nationality","Hispanic",9,0.01,"English"
"308",10,"human","civilized",10,0.82,"English"
"309",10,"material","crocheted",11,0.07,"English"
"310",10,"dimension","thick",12,0.63,"English"
"311",10,"speed","fast",13,0.68,"English"
"312",10,"age","old",14,0.64,"English"
"313",10,"X","token",15,0.01,"English"
"314",10,"value","prestigious",16,0.71,"English"
"315",10,"physical","spicy",17,0.65,"English"
"316",10,"nationality","English",18,0.01,"English"
"317",10,"color","purple",19,0.03,"English"
"318",10,"physical","curly",20,0.15,"English"
"319",10,"shape","square",21,0.03,"English"
"320",10,"value","strange",22,0.88,"English"
"321",10,"dimension","long",23,0.26,"English"
"322",10,"dimension","biggest",24,0.94,"English"
"323",10,"color","blonde",25,0.04,"English"
"324",10,"X","different",26,0.82,"English"
"325",10,"human","strict",27,0.68,"English"
"326",10,"value","plain",28,0.02,"English"
"327",10,"location","overhead",29,0.01,"English"
"328",10,"value","best",30,0.83,"English"
"329",10,"material","gold",31,0.21,"English"
"330",10,"human","selfish",32,0.86,"English"
"331",11,"X","designated",3,0.29,"English"
"332",11,"dimension","large",4,0.69,"English"
"333",11,"physical","creamy",5,0.58,"English"
"334",11,"color","black",6,0.34,"English"
"335",11,"dimension","thin",7,0.75,"English"
"336",11,"age","senior",8,0.5,"English"
"337",11,"value","plain",9,0.8,"English"
"338",11,"age","old-time",10,0.67,"English"
"339",11,"physical","sweet",11,0.42,"English"
"340",11,"color","yellow",12,0.2,"English"
"341",11,"dimension","biggest",13,0.21,"English"
"342",11,"value","prestigious",14,0.59,"English"
"343",11,"physical","frozen",15,0.21,"English"
"344",11,"dimension","narrow",16,0.46,"English"
"345",11,"age","old",17,0.9,"English"
"346",11,"speed","fast",18,0.76,"English"
"347",11,"location","overhead",19,0.25,"English"
"348",11,"human","sad",20,0.49,"English"
"349",11,"human","playful",21,0.69,"English"
"350",11,"speed","speedy",22,0.65,"English"
"351",11,"color","green",23,0.15,"English"
"352",11,"value","pleasant",24,0.71,"English"
"353",11,"location","closest",25,0.34,"English"
"354",11,"age","junior",26,0.54,"English"
"355",11,"X","mixed",27,0.24,"English"
"356",11,"value","best",28,0.49,"English"
"357",11,"shape","circular",29,0.16,"English"
"358",11,"color","white",30,0.14,"English"
"359",11,"color","red",31,0.11,"English"
"360",11,"material","corduroy",32,0.02,"English"
"361",12,"nationality","national",3,0,"english"
"362",12,"location","overhead",4,0.7,"english"
"363",12,"location","closest",5,0,"english"
"364",12,"color","black",6,0,"english"
"365",12,"physical","solid",7,0,"english"
"366",12,"X","unique",8,1,"english"
"367",12,"shape","square",9,0,"english"
"368",12,"physical","creamy",10,0.14,"english"
"369",12,"value","favorite",11,1,"english"
"370",12,"X","potential",12,1,"english"
"371",12,"temporal","everyday",13,0.79,"english"
"372",12,"physical","spicy",14,0.79,"english"
"373",12,"age","senior",15,0.74,"english"
"374",12,"speed","slow",16,1,"english"
"375",12,"human","creative",17,1,"english"
"376",12,"material","gold",18,0,"english"
"377",12,"physical","curly",19,0.2,"english"
"378",12,"material","crocheted",20,0,"english"
"379",12,"speed","speedy",21,1,"english"
"380",12,"value","prestigious",22,0.68,"english"
"381",12,"dimension","biggest",23,0,"english"
"382",12,"dimension","long",24,1,"english"
"383",12,"age","old",25,0.81,"english"
"384",12,"color","green",26,0,"english"
"385",12,"X","mixed",27,0.49,"english"
"386",12,"physical","smooth",28,0.38,"english"
"387",12,"dimension","thin",29,0.56,"english"
"388",12,"temporal","daily",30,0,"english"
"389",12,"X","individual",31,0,"english"
"390",12,"color","blue",32,0,"english"
"391",13,"location","internal",3,0.59,"English"
"392",13,"color","blue",4,0.19,"English"
"393",13,"human","selfish",5,0.7,"English"
"394",13,"dimension","biggest",6,0.6,"English"
"395",13,"material","crocheted",7,0.49,"English"
"396",13,"value","prestigious",8,0.84,"English"
"397",13,"temporal","daily",9,0.62,"English"
"398",13,"value","exciting",10,0.47,"English"
"399",13,"X","potential",11,0.79,"English"
"400",13,"physical","lacy",12,0.37,"English"
"401",13,"X","token",13,0.79,"English"
"402",13,"physical","sweet",14,0.62,"English"
"403",13,"material","wooden",15,0.52,"English"
"404",13,"dimension","narrow",16,0.88,"English"
"405",13,"age","junior",17,0.61,"English"
"406",13,"age","senior",18,0.55,"English"
"407",13,"nationality","Japanese",19,0.21,"English"
"408",13,"nationality","English",20,0.7,"English"
"409",13,"color","purple",21,0.55,"English"
"410",13,"age","new",22,0.92,"English"
"411",13,"dimension","mini",23,0.74,"English"
"412",13,"color","red",24,0.24,"English"
"413",13,"age","young",25,0.65,"English"
"414",13,"material","corduroy",26,0.37,"English"
"415",13,"human","strict",27,0.63,"English"
"416",13,"value","pleasant",28,0.68,"English"
"417",13,"value","lavish",29,0.46,"English"
"418",13,"color","black",30,0.7,"English"
"419",13,"physical","spicy",31,0.87,"English"
"420",13,"value","plain",32,0.56,"English"
"421",14,"nationality","Brazilian",3,0.06,"english"
"422",14,"location","internal",4,0.07,"english"
"423",14,"dimension","open",5,0.01,"english"
"424",14,"speed","slow",6,0.5,"english"
"425",14,"color","purple",7,0.05,"english"
"426",14,"speed","fast",8,0.5,"english"
"427",14,"color","green",9,0.05,"english"
"428",14,"value","plain",10,0.5,"english"
"429",14,"value","strange",11,0.98,"english"
"430",14,"color","yellow",12,0.2,"english"
"431",14,"nationality","Vietnamese",13,0.05,"english"
"432",14,"value","best",14,0.73,"english"
"433",14,"nationality","Hispanic",15,0.2,"english"
"434",14,"nationality","English",16,0.05,"english"
"435",14,"X","individual",17,0.04,"english"
"436",14,"value","exciting",18,0.98,"english"
"437",14,"physical","frozen",19,0.04,"english"
"438",14,"temporal","daily",20,0.05,"english"
"439",14,"age","junior",21,0.23,"english"
"440",14,"nationality","Japanese",22,0.01,"english"
"441",14,"age","senior",23,0.21,"english"
"442",14,"value","favorite",24,0.98,"english"
"443",14,"human","selfish",25,0.96,"english"
"444",14,"temporal","historical",26,0.22,"english"
"445",14,"human","professional",27,0.45,"english"
"446",14,"physical","solid",28,0.16,"english"
"447",14,"dimension","large",29,0.75,"english"
"448",14,"X","potential",30,0.18,"english"
"449",14,"age","young",31,0.73,"english"
"450",14,"age","new",32,0.74,"english"
"451",15,"physical","curly",3,0.8,"English"
"452",15,"value","strange",4,0.96,"English"
"453",15,"nationality","Vietnamese",5,0.01,"English"
"454",15,"temporal","daily",6,0.07,"English"
"455",15,"shape","square",7,0.02,"English"
"456",15,"color","green",8,0.23,"English"
"457",15,"age","senior",9,0.23,"English"
"458",15,"nationality","Brazilian",10,0.19,"English"
"459",15,"value","lavish",11,0.9,"English"
"460",15,"nationality","Hispanic",12,0.14,"English"
"461",15,"value","plain",13,0.8,"English"
"462",15,"value","best",14,0.78,"English"
"463",15,"dimension","long",15,0.79,"English"
"464",15,"color","black",16,0.25,"English"
"465",15,"X","unique",17,0.76,"English"
"466",15,"physical","creamy",18,0.76,"English"
"467",15,"dimension","mini",19,0.85,"English"
"468",15,"color","red",20,0.31,"English"
"469",15,"physical","sweet",21,0.88,"English"
"470",15,"X","designated",22,0.36,"English"
"471",15,"temporal","everyday",23,0.14,"English"
"472",15,"material","crocheted",24,0.3,"English"
"473",15,"value","exciting",25,0.88,"English"
"474",15,"nationality","national",26,0.19,"English"
"475",15,"nationality","international",27,0.24,"English"
"476",15,"dimension","large",28,0.9,"English"
"477",15,"dimension","open",29,0.74,"English"
"478",15,"color","yellow",30,0.13,"English"
"479",15,"value","prestigious",31,0.79,"English"
"480",15,"human","strict",32,0.77,"English"
"481",16,"speed","slow",3,0.73,"English"
"482",16,"value","exciting",4,0.62,"English"
"483",16,"nationality","Brazilian",5,0.36,"English"
"484",16,"X","designated",6,0.13,"English"
"485",16,"dimension","mini",7,0.38,"English"
"486",16,"value","best",8,0.32,"English"
"487",16,"physical","smooth",9,0.15,"English"
"488",16,"nationality","English",10,0.15,"English"
"489",16,"dimension","biggest",11,0.29,"English"
"490",16,"value","favorite",12,0.55,"English"
"491",16,"age","old-time",13,0.56,"English"
"492",16,"material","crocheted",14,0.15,"English"
"493",16,"physical","solid",15,0.16,"English"
"494",16,"location","internal",16,0.27,"English"
"495",16,"human","selfish",17,0.49,"English"
"496",16,"X","individual",18,0.23,"English"
"497",16,"X","token",19,0.1,"English"
"498",16,"nationality","Hispanic",20,0.48,"English"
"499",16,"nationality","Japanese",21,0.49,"English"
"500",16,"value","lavish",22,0.54,"English"
"501",16,"dimension","open",23,0.14,"English"
"502",16,"physical","spicy",24,0.29,"English"
"503",16,"temporal","historical",25,0.23,"English"
"504",16,"value","prestigious",26,0.56,"English"
"505",16,"physical","frozen",27,0.14,"English"
"506",16,"age","old",28,0.3,"English"
"507",16,"age","senior",29,0.34,"English"
"508",16,"physical","sweet",30,0.38,"English"
"509",16,"human","sad",31,0.55,"English"
"510",16,"color","black",32,0.31,"English"
"511",17,"speed","slow",3,0.85,"English"
"512",17,"nationality","European",4,0.05,"English"
"513",17,"human","playful",5,0.81,"English"
"514",17,"physical","spicy",6,0.56,"English"
"515",17,"color","black",7,0.04,"English"
"516",17,"dimension","mini",8,0.91,"English"
"517",17,"age","old",9,0.52,"English"
"518",17,"value","exciting",10,0.97,"English"
"519",17,"human","strict",11,0.94,"English"
"520",17,"nationality","Vietnamese",12,0.04,"English"
"521",17,"location","closest",13,0.07,"English"
"522",17,"dimension","large",14,0.93,"English"
"523",17,"nationality","English",15,0.06,"English"
"524",17,"physical","frozen",16,0.01,"English"
"525",17,"location","overhead",17,0.19,"English"
"526",17,"physical","curly",18,0.25,"English"
"527",17,"speed","speedy",19,0.71,"English"
"528",17,"dimension","long",20,0.94,"English"
"529",17,"color","yellow",21,0.07,"English"
"530",17,"physical","lacy",22,0.23,"English"
"531",17,"color","blue",23,0.04,"English"
"532",17,"location","internal",24,0.28,"English"
"533",17,"physical","solid",25,0.14,"English"
"534",17,"nationality","Brazilian",26,0.06,"English"
"535",17,"color","blonde",27,0.04,"English"
"536",17,"dimension","thick",28,0.89,"English"
"537",17,"nationality","Japanese",29,0.03,"English"
"538",17,"temporal","everyday",30,0.65,"English"
"539",17,"physical","smooth",31,0.28,"English"
"540",17,"material","wooden",32,0.05,"English"
"541",18,"dimension","biggest",3,0.16,"English"
"542",18,"speed","speedy",4,0.72,"English"
"543",18,"nationality","Hispanic",5,0.04,"English"
"544",18,"material","crocheted",6,0.21,"English"
"545",18,"material","corduroy",7,0.17,"English"
"546",18,"speed","slow",8,0.69,"English"
"547",18,"temporal","daily",9,0.45,"English"
"548",18,"value","lavish",10,0.81,"English"
"549",18,"color","black",11,0.15,"English"
"550",18,"X","potential",12,0.92,"English"
"551",18,"human","selfish",13,0.7,"English"
"552",18,"color","purple",14,0.17,"English"
"553",18,"material","gold",15,0.2,"English"
"554",18,"value","plain",16,0.71,"English"
"555",18,"dimension","thin",17,0.68,"English"
"556",18,"X","individual",18,0.08,"English"
"557",18,"color","white",19,0.17,"English"
"558",18,"color","red",20,0,"English"
"559",18,"physical","sweet",21,0.72,"English"
"560",18,"physical","smooth",22,0.55,"English"
"561",18,"location","closest",23,0.17,"English"
"562",18,"age","junior",24,0.24,"English"
"563",18,"age","senior",25,0.16,"English"
"564",18,"human","professional",26,0.45,"English"
"565",18,"human","creative",27,0.78,"English"
"566",18,"nationality","Japanese",28,0.03,"English"
"567",18,"nationality","English",29,0.23,"English"
"568",18,"X","unique",30,0.87,"English"
"569",18,"nationality","national",31,0.3,"English"
"570",18,"physical","creamy",32,0.7,"English"
"571",19,"age","junior",3,0,"English"
"572",19,"physical","smooth",4,0.58,"English"
"573",19,"value","pleasant",5,0,"English"
"574",19,"X","mixed",6,0.18,"English"
"575",19,"value","best",7,0,"English"
"576",19,"shape","circular",8,0,"English"
"577",19,"human","professional",9,0.97,"English"
"578",19,"dimension","narrow",10,0.01,"English"
"579",19,"physical","frozen",11,0,"English"
"580",19,"dimension","biggest",12,0.42,"English"
"581",19,"human","civilized",13,1,"English"
"582",19,"X","last",14,1,"English"
"583",19,"nationality","Hispanic",15,0,"English"
"584",19,"material","gold",16,0,"English"
"585",19,"color","green",17,0,"English"
"586",19,"X","designated",18,1,"English"
"587",19,"color","purple",19,0,"English"
"588",19,"color","black",20,0,"English"
"589",19,"color","blonde",21,0,"English"
"590",19,"temporal","historical",22,0,"English"
"591",19,"human","creative",23,1,"English"
"592",19,"location","closest",24,0.01,"English"
"593",19,"dimension","thick",25,0.42,"English"
"594",19,"nationality","English",26,0,"English"
"595",19,"dimension","open",27,0.17,"English"
"596",19,"age","old",28,0,"English"
"597",19,"dimension","thin",29,0.94,"English"
"598",19,"age","senior",30,0.02,"English"
"599",19,"dimension","large",31,0.53,"English"
"600",19,"nationality","international",32,0.39,"English"
"601",20,"value","strange",3,0.93,"english"
"602",20,"dimension","open",4,0.93,"english"
"603",20,"color","blonde",5,0.05,"english"
"604",20,"dimension","narrow",6,0.84,"english"
"605",20,"temporal","historical",7,0.23,"english"
"606",20,"speed","slow",8,0.9,"english"
"607",20,"color","black",9,0.02,"english"
"608",20,"nationality","Japanese",10,0.07,"english"
"609",20,"human","playful",11,0.86,"english"
"610",20,"nationality","English",12,0.53,"english"
"611",20,"value","pleasant",13,0.89,"english"
"612",20,"material","crocheted",14,0.93,"english"
"613",20,"physical","lacy",15,0.23,"english"
"614",20,"color","red",16,0.03,"english"
"615",20,"X","different",17,0.84,"english"
"616",20,"shape","circular",18,0.05,"english"
"617",20,"value","exciting",19,0.7,"english"
"618",20,"temporal","everyday",20,0.82,"english"
"619",20,"value","best",21,0.88,"english"
"620",20,"nationality","national",22,0.59,"english"
"621",20,"color","purple",23,0.91,"english"
"622",20,"nationality","Brazilian",24,0.07,"english"
"623",20,"nationality","international",25,0.09,"english"
"624",20,"X","designated",26,0.79,"english"
"625",20,"color","white",27,0.12,"english"
"626",20,"dimension","biggest",28,0.97,"english"
"627",20,"X","mixed",29,0.78,"english"
"628",20,"dimension","thick",30,0.93,"english"
"629",20,"nationality","Vietnamese",31,0.05,"english"
"630",20,"material","gold",32,0.05,"english"
"661",22,"color","blonde",3,0.48,"English"
"662",22,"physical","spicy",4,0.78,"English"
"663",22,"physical","solid",5,0.07,"English"
"664",22,"nationality","national",6,0.14,"English"
"665",22,"location","internal",7,0.17,"English"
"666",22,"color","blue",8,0.08,"English"
"667",22,"shape","square",9,0.14,"English"
"668",22,"X","mixed",10,0.54,"English"
"669",22,"dimension","thick",11,0.79,"English"
"670",22,"color","yellow",12,0.44,"English"
