workerid,class,predicate,slide_number,response
11,size,big,22,0.83
11,size,long,23,0.88
11,quality,bad,24,1
11,color,purple,25,0.14
11,texture,hard,26,0.76
11,size,short,27,0.84
11,color,green,28,0.12
12,material,plastic,3,0.06
12,age,fresh,4,0.86
12,size,huge,5,0.82
12,shape,round,6,0.13
12,age,rotten,7,0.78
12,size,big,8,0.78
12,quality,good,9,0.93
12,age,new,10,0.65
12,material,wooden,11,0.08
12,size,tiny,12,0.74
12,size,short,13,0.83
12,color,brown,14,0.06
12,size,small,15,0.85
12,color,yellow,16,0.35
12,texture,smooth,17,0.73
12,quality,bad,18,0.94
12,texture,soft,19,0.78
12,color,green,20,0.27
12,color,blue,21,0.16
12,texture,hard,22,0.68
12,shape,square,23,0.04
12,color,purple,24,0.32
12,size,long,25,0.77
12,color,red,26,0.35
12,age,old,27,0.89
12,material,metal,28,0.21
13,size,big,3,0.96
13,texture,hard,4,0.92
13,size,small,5,0.94
13,color,green,6,0.1
13,age,rotten,7,0.8
13,color,purple,8,0.07
13,material,wooden,9,0.12
13,color,red,10,0.09
13,size,long,11,0.95
13,quality,good,12,0.95
13,texture,soft,13,0.93
13,texture,smooth,14,0.99
13,shape,round,15,0.48
13,size,huge,16,0.9
13,material,plastic,17,0.01
13,size,short,18,0.96
13,material,metal,19,0
13,shape,square,20,0.09
13,quality,bad,21,0.94
13,color,blue,22,0.02
13,size,tiny,23,0.91
13,age,old,24,0.92
13,age,fresh,25,0.86
13,color,brown,26,0.12
13,age,new,27,0.94
13,color,yellow,28,0.11
14,size,big,3,0.76
14,size,short,4,0.85
14,material,metal,5,0
14,color,yellow,6,0
14,material,plastic,7,0
14,texture,hard,8,0.77
14,age,fresh,9,0.77
14,material,wooden,10,0.28
14,shape,round,11,0
14,quality,bad,12,0.79
14,age,old,13,0.84
14,quality,good,14,0.75
14,color,green,15,0
14,age,rotten,16,0.2
14,size,tiny,17,0.79
14,color,red,18,0
14,color,purple,19,0
14,size,huge,20,0.71
14,texture,smooth,21,0.52
14,size,long,22,0.76
14,age,new,23,0.53
14,color,brown,24,0.02
14,color,blue,25,0
14,texture,soft,26,0.71
14,shape,square,27,0
14,size,small,28,0.86
15,quality,good,3,0.84
15,age,old,4,0.33
15,size,long,5,0.65
15,size,big,6,0.75
15,texture,soft,7,0.33
15,shape,square,8,0.1
15,texture,smooth,9,0.25
15,age,fresh,10,0.6
15,material,metal,11,0.06
15,shape,round,12,0.09
15,color,green,13,0.2
15,size,small,14,0.72
15,quality,bad,15,0.92
15,age,rotten,16,0.53
15,size,huge,17,0.61
15,color,purple,18,0.12
15,size,short,19,0.63
15,material,plastic,20,0.04
15,color,yellow,21,0.05
15,age,new,22,0.16
15,color,brown,23,0.22
15,material,wooden,24,0.06
15,color,red,25,0.11
15,color,blue,26,0.13
15,size,tiny,27,0.56
15,texture,hard,28,0.24
16,color,purple,3,0.24
16,texture,soft,4,0.72
16,material,plastic,5,0.21
16,age,rotten,6,0.22
16,size,big,7,0.83
16,size,tiny,8,0.81
16,quality,good,9,0.75
16,color,blue,10,0.22
16,size,huge,11,0.91
16,age,old,12,0.78
16,color,red,13,0.21
16,color,yellow,14,0.19
16,color,green,15,0.18
16,texture,smooth,16,0.83
16,shape,round,17,0.15
16,age,new,18,0.84
16,color,brown,19,0.18
16,size,long,20,0.79
16,shape,square,21,0.13
16,material,wooden,22,0.17
16,texture,hard,23,0.79
16,material,metal,24,0.18
16,age,fresh,25,0.79
16,size,small,26,0.78
16,size,short,27,0.93
16,quality,bad,28,0.83
17,color,red,3,0.12
17,texture,hard,4,0.66
17,quality,good,5,0.78
17,texture,smooth,6,0.39
17,color,yellow,7,0.2
17,size,long,8,0.61
17,size,big,9,0.59
17,color,brown,10,0.23
17,color,blue,11,0.18
17,size,short,12,0.54
17,age,old,13,0.61
17,age,fresh,14,0.38
17,material,metal,15,0.16
17,color,green,16,0.17
17,material,plastic,17,0.15
17,material,wooden,18,0.12
17,size,small,19,0.65
17,shape,round,20,0.47
17,shape,square,21,0.27
17,age,new,22,0.73
17,texture,soft,23,0.75
17,size,tiny,24,0.75
17,size,huge,25,0.75
17,color,purple,26,0.12
17,quality,bad,27,0.87
17,age,rotten,28,0.83
18,color,brown,3,0.6
18,shape,square,4,0.41
18,quality,good,5,0.63
18,shape,round,6,0.42
18,texture,smooth,7,0.61
18,size,short,8,0.5
18,size,big,9,0.77
18,material,wooden,10,0.37
18,material,plastic,11,0.61
18,material,metal,12,0.53
18,size,long,13,0.8
18,age,old,14,0.21
18,size,tiny,15,0.61
18,color,yellow,16,0.56
18,quality,bad,17,0.77
18,size,huge,18,0.48
18,color,red,19,0.82
18,age,fresh,20,0.22
18,age,rotten,21,0.49
18,color,green,22,0.69
18,color,purple,23,0.74
18,color,blue,24,0.27
18,texture,hard,25,0.57
18,size,small,26,0.36
18,texture,soft,27,0.64
18,age,new,28,0.47
19,age,new,3,0.86
19,size,tiny,4,0.17
19,color,green,5,1
19,color,brown,6,1
19,size,big,7,0.94
19,color,yellow,8,0
19,texture,soft,9,0.8
19,age,fresh,10,0.62
19,texture,smooth,11,0.61
19,age,rotten,12,0.6
19,material,metal,13,0.29
19,quality,good,14,0.48
19,shape,round,15,0.52
19,texture,hard,16,0.56
19,age,old,17,0.55
19,material,plastic,18,0.12
19,size,short,19,0.64
19,size,small,20,0.55
19,quality,bad,21,0.77
19,color,red,22,0
19,material,wooden,23,0.64
19,shape,square,24,0.58
19,size,long,25,0.72
19,color,purple,26,0
19,size,huge,27,0.63
19,color,blue,28,0
20,age,fresh,3,0.82
20,size,big,4,0.38
20,age,old,5,0.46
20,color,green,6,0.1
20,color,brown,7,0.1
20,material,wooden,8,0.04
20,material,plastic,9,0
20,texture,hard,10,0.4
20,size,small,11,0.47
20,color,blue,12,0.05
20,age,rotten,13,0.3
20,size,tiny,14,0.68
20,size,huge,15,0.43
20,color,red,16,0.06
20,size,short,17,0.45
20,age,new,18,0.6
20,color,purple,19,0.08
20,material,metal,20,0.11
20,size,long,21,0.47
20,color,yellow,22,0.04
20,quality,good,23,0.7
20,shape,square,24,0.17
20,shape,round,25,0.04
20,texture,soft,26,0.69
20,texture,smooth,27,0.43
20,quality,bad,28,0.76
21,quality,bad,3,0.7
21,age,old,4,0.5
21,size,short,5,0.51
21,color,purple,6,0.5
21,color,brown,7,0.47
21,size,tiny,8,0.52
21,age,new,9,0.51
21,color,red,10,0.49
21,material,metal,11,0.48
21,quality,good,12,0.48
21,material,wooden,13,0.46
21,age,fresh,14,0.47
21,color,blue,15,0.47
21,texture,soft,16,0.45
21,size,big,17,0.45
21,color,green,18,0.5
21,age,rotten,19,0.5
21,texture,smooth,20,0.49
21,shape,square,21,0.49
21,shape,round,22,0.48
21,material,plastic,23,0.49
21,texture,hard,24,0.5
21,size,huge,25,0.49
21,color,yellow,26,0.48
21,size,small,27,0.5
21,size,long,28,0.49
22,age,fresh,3,0.81
22,size,small,4,0.84
22,material,metal,5,0
22,quality,good,6,1
22,shape,round,7,0.11
22,size,long,8,0.85
22,age,rotten,9,0.76
22,color,yellow,10,0
22,material,plastic,11,0
22,size,big,12,0.9
22,size,huge,13,0.9
22,texture,smooth,14,0.9
22,age,new,15,0.61
22,shape,square,16,0.03
22,color,blue,17,0.02
22,texture,soft,18,0.89
22,color,brown,19,0
22,size,tiny,20,0.91
22,color,purple,21,0
22,color,red,22,0
22,texture,hard,23,0.87
22,color,green,24,0
22,material,wooden,25,0.08
22,quality,bad,26,0.9
22,age,old,27,0.86
22,size,short,28,0.89
23,color,blue,3,0.86
23,material,plastic,4,0.5
23,texture,hard,5,0.73
23,material,metal,6,0.04
23,color,purple,7,0.53
23,color,yellow,8,0.66
23,age,new,9,0.72
23,material,wooden,10,0.06
23,size,huge,11,0.97
23,texture,soft,12,0.94
23,color,green,13,0.53
23,shape,square,14,0.02
23,size,short,15,0.83
23,shape,round,16,0.04
23,age,old,17,1
23,age,fresh,18,1
23,texture,smooth,19,0.5
23,size,big,20,1
23,size,small,21,1
23,color,brown,22,0.55
23,age,rotten,23,0.98
23,size,long,24,1
23,quality,good,25,1
23,size,tiny,26,1
23,color,red,27,0.54
23,quality,bad,28,1
24,age,new,3,0.21
24,color,purple,4,0.08
24,color,red,5,0.08
24,age,rotten,6,0.47
24,texture,smooth,7,0.18
24,texture,hard,8,0.17
24,material,metal,9,0.1
24,age,old,10,0.82
24,material,plastic,11,0.19
24,material,wooden,12,0.17
24,size,huge,13,0.74
24,color,brown,14,0.28
24,color,blue,15,0.15
24,size,tiny,16,0.79
24,color,green,17,0.19
24,size,long,18,0.78
24,quality,bad,19,0.77
24,quality,good,20,0.79
24,size,big,21,0.75
24,texture,soft,22,0.5
24,shape,square,23,0.09
24,size,short,24,0.88
24,size,small,25,0.89
24,shape,round,26,0.38
24,age,fresh,27,0.88
24,color,yellow,28,0.11
25,color,yellow,3,0.13
25,size,big,4,0.87
25,size,long,5,0.83
25,color,green,6,0.08
25,age,old,7,0.7
25,size,short,8,0.85
25,texture,hard,9,0.77
25,texture,soft,10,0.83
25,material,plastic,11,0.13
25,shape,round,12,0.05
25,color,brown,13,0.17
25,size,tiny,14,0.75
25,quality,good,15,0.86
25,color,blue,16,0.19
25,color,red,17,0.08
25,age,fresh,18,0.66
25,age,rotten,19,0.67
25,color,purple,20,0.13
25,age,new,21,0.71
25,material,wooden,22,0.02
25,texture,smooth,23,0.42
25,size,small,24,0.84
25,quality,bad,25,0.83
25,material,metal,26,0.05
25,shape,square,27,0.72
25,size,huge,28,0.9
26,shape,round,3,0.11
26,quality,bad,4,0.92
26,size,big,5,0.72
26,color,purple,6,0.2
26,material,wooden,7,0.46
26,age,fresh,8,0.7
26,age,old,9,0.7
26,material,metal,10,0.11
26,size,short,11,0.72
26,color,yellow,12,0.17
26,color,green,13,0.09
26,quality,good,14,0.78
26,texture,hard,15,0.67
26,size,tiny,16,0.81
26,color,blue,17,0.27
26,color,red,18,0.16
26,shape,square,19,0.36
26,size,small,20,0.64
26,size,long,21,0.69
26,texture,smooth,22,0.37
26,material,plastic,23,0.29
26,size,huge,24,0.87
26,age,rotten,25,0.76
26,texture,soft,26,0.27
26,color,brown,27,0.18
26,age,new,28,0.72
27,color,purple,3,0.21
27,texture,hard,4,0.2
27,texture,smooth,5,0.28
27,age,fresh,6,0.74
27,material,metal,7,0
27,size,big,8,0.51
27,age,old,9,0.32
27,size,short,10,0.53
27,color,red,11,0.2
27,material,plastic,12,0
27,color,yellow,13,0.14
27,size,small,14,0.59
27,quality,good,15,0.75
27,quality,bad,16,0.73
27,size,tiny,17,0.53
27,size,long,18,0.58
27,shape,square,19,0
27,color,brown,20,0.17
27,age,rotten,21,0.44
27,color,green,22,0.18
27,age,new,23,0.54
27,texture,soft,24,0.34
27,color,blue,25,0.12
27,material,wooden,26,0
27,shape,round,27,0
27,size,huge,28,0.53
28,size,long,3,0.88
28,shape,square,4,0.13
28,size,short,5,0.9
28,age,fresh,6,0.75
28,color,red,7,0.06
28,color,blue,8,0.01
28,texture,soft,9,0.63
28,material,plastic,10,0.06
28,age,rotten,11,0.51
28,texture,hard,12,0.76
28,age,old,13,0.79
28,texture,smooth,14,0.71
28,quality,good,15,0.7
28,color,green,16,0.04
28,age,new,17,0.57
28,material,metal,18,0.04
28,color,yellow,19,0.04
28,size,huge,20,0.73
28,material,wooden,21,0.05
28,quality,bad,22,0.76
28,color,brown,23,0.04
28,color,purple,24,0.05
28,size,tiny,25,0.71
28,size,small,26,0.83
28,size,big,27,0.77
28,shape,round,28,0.06
29,color,red,3,0
29,shape,round,4,0
29,size,huge,5,0.76
29,size,tiny,6,0.71
29,color,green,7,0.01
29,age,old,8,0.8
29,age,rotten,9,0.35
29,size,long,10,0.7
29,age,new,11,0.6
29,age,fresh,12,0.68
29,texture,smooth,13,0.66
29,material,wooden,14,0.01
29,size,short,15,0.71
29,texture,hard,16,1
29,quality,bad,17,0.98
29,color,brown,18,0.01
29,texture,soft,19,0.78
29,color,blue,20,0
29,shape,square,21,0.01
29,quality,good,22,1
29,color,yellow,23,0
29,size,small,24,0.79
29,material,plastic,25,0
29,color,purple,26,0
29,size,big,27,0.82
29,material,metal,28,0
